type,country,rating,listed_in,month_added
Movie,United States,PG-13,Documentaries,September
TV Show,South Africa,TV-MA,"International TV Shows, TV Dramas, TV Mysteries",September
TV Show,blank country,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure",September
TV Show,blank country,TV-MA,"Docuseries, Reality TV",September
TV Show,India,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies",September
TV Show,blank country,TV-MA,"TV Dramas, TV Horror, TV Mysteries",September
Movie,blank country,PG,Children & Family Movies,September
Movie,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",TV-MA,"Dramas, Independent Movies, International Movies",September
TV Show,United Kingdom,TV-14,"British TV Shows, Reality TV",September
Movie,United States,PG-13,"Comedies, Dramas",September
TV Show,blank country,TV-MA,"Crime TV Shows, Docuseries, International TV Shows",September
TV Show,blank country,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure",September
Movie,"Germany, Czech Republic",TV-MA,"Dramas, International Movies",September
Movie,blank country,TV-PG,"Children & Family Movies, Comedies",September
TV Show,blank country,TV-MA,"British TV Shows, Crime TV Shows, Docuseries",September
TV Show,United States,TV-MA,"TV Comedies, TV Dramas",September
Movie,blank country,TV-MA,"Documentaries, International Movies",September
TV Show,Mexico,TV-MA,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",September
Movie,blank country,TV-14,Thrillers,September
TV Show,blank country,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",September
TV Show,blank country,TV-14,"Crime TV Shows, Docuseries, International TV Shows",September
TV Show,Turkey,TV-14,"International TV Shows, TV Action & Adventure, TV Dramas",September
Movie,blank country,TV-PG,"Comedies, International Movies",September
Movie,blank country,TV-Y,Children & Family Movies,September
Movie,India,TV-14,"Comedies, International Movies, Romantic Movies",September
TV Show,Australia,TV-14,"Docuseries, International TV Shows, Reality TV",September
Movie,blank country,TV-PG,"Comedies, International Movies, Music & Musicals",September
Movie,United States,PG-13,Comedies,September
Movie,United States,PG-13,"Horror Movies, Sci-Fi & Fantasy",September
Movie,"United States, India, France",PG-13,Thrillers,September
Movie,blank country,TV-14,"Dramas, Independent Movies, International Movies",September
TV Show,blank country,TV-MA,TV Comedies,September
TV Show,United Kingdom,TV-MA,"British TV Shows, International TV Shows, TV Comedies",September
TV Show,blank country,TV-MA,"International TV Shows, TV Dramas, TV Thrillers",September
TV Show,blank country,TV-Y7,Kids' TV,September
Movie,blank country,TV-MA,"Dramas, International Movies, Thrillers",September
Movie,blank country,TV-MA,"Action & Adventure, Dramas, International Movies",September
TV Show,Finland,TV-Y7,"Kids' TV, TV Comedies",September
Movie,"China, Canada, United States",PG-13,"Action & Adventure, Dramas",September
TV Show,India,TV-Y7,Kids' TV,September
TV Show,United States,TV-Y7,"Kids' TV, TV Sci-Fi & Fantasy",September
Movie,United States,PG,"Action & Adventure, Classic Movies, Dramas",September
Movie,United States,PG,"Dramas, Horror Movies, Thrillers",September
Movie,United States,PG,"Action & Adventure, Horror Movies, Thrillers",September
Movie,United States,PG-13,"Action & Adventure, Horror Movies, Thrillers",September
Movie,blank country,PG,Documentaries,September
Movie,"South Africa, United States, Japan",R,Action & Adventure,September
TV Show,blank country,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies",September
Movie,United States,R,"Dramas, Thrillers",September
TV Show,Nigeria,TV-MA,"International TV Shows, TV Dramas",September
TV Show,India,TV-PG,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",September
Movie,Japan,TV-14,"Action & Adventure, Anime Features, International Movies",September
Movie,Japan,TV-14,"Action & Adventure, Anime Features, International Movies",September
Movie,Japan,TV-PG,"Action & Adventure, Anime Features, International Movies",September
Movie,Japan,TV-PG,"Action & Adventure, Anime Features, International Movies",September
TV Show,United States,TV-PG,Reality TV,September
Movie,Japan,TV-14,"Action & Adventure, Anime Features, International Movies",September
Movie,Japan,TV-PG,"Action & Adventure, Anime Features, International Movies",September
Movie,Japan,TV-PG,"Action & Adventure, Anime Features, International Movies",September
Movie,Japan,TV-PG,"Action & Adventure, Anime Features, International Movies",September
Movie,Japan,TV-14,"Action & Adventure, Anime Features, International Movies",September
Movie,Japan,TV-PG,"Action & Adventure, Anime Features, International Movies",September
Movie,Japan,TV-PG,"Action & Adventure, Anime Features, International Movies",September
Movie,Japan,TV-PG,"Action & Adventure, Anime Features, International Movies",September
Movie,blank country,TV-PG,Children & Family Movies,September
TV Show,United Kingdom,TV-Y,Kids' TV,September
TV Show,India,TV-G,"Docuseries, International TV Shows",September
TV Show,United States,TV-PG,"Kids' TV, TV Comedies",September
Movie,blank country,TV-14,"Documentaries, International Movies, Sports Movies",September
TV Show,India,TV-PG,"International TV Shows, TV Dramas",September
TV Show,blank country,TV-MA,"International TV Shows, Reality TV, Romantic TV Shows",September
Movie,blank country,TV-Y,Children & Family Movies,September
TV Show,United Kingdom,TV-MA,"British TV Shows, Docuseries, International TV Shows",September
Movie,Nigeria,TV-MA,"Dramas, International Movies",September
TV Show,blank country,TV-PG,Reality TV,September
Movie,blank country,TV-G,Children & Family Movies,September
TV Show,Japan,TV-14,"Anime Series, International TV Shows",September
Movie,blank country,TV-Y7,"Children & Family Movies, Comedies",September
Movie,blank country,TV-14,"Comedies, Dramas, International Movies",September
Movie,blank country,TV-14,"Comedies, Dramas, International Movies",September
Movie,blank country,TV-Y7,Children & Family Movies,September
Movie,United States,R,Action & Adventure,September
TV Show,United States,TV-14,"Crime TV Shows, TV Comedies, TV Dramas",September
TV Show,blank country,TV-MA,Reality TV,September
Movie,Nigeria,TV-MA,"Action & Adventure, Comedies, Dramas",September
TV Show,blank country,TV-Y7,"Anime Series, Kids' TV",September
Movie,blank country,TV-MA,"International Movies, Thrillers",September
