type,country,rating,listed_in,month_added
Movie,United States,PG-13,Documentaries,September
TV Show,South Africa,TV-MA,International TV Shows,September
TV Show,South Africa,TV-MA,TV Dramas,September
TV Show,South Africa,TV-MA,TV Mysteries,September
TV Show,blank country,TV-MA,Crime TV Shows,September
TV Show,blank country,TV-MA,International TV Shows,September
TV Show,blank country,TV-MA,TV Action & Adventure,September
TV Show,blank country,TV-MA,Docuseries,September
TV Show,blank country,TV-MA,Reality TV,September
TV Show,India,TV-MA,International TV Shows,September
TV Show,India,TV-MA,Romantic TV Shows,September
TV Show,India,TV-MA,TV Comedies,September
TV Show,blank country,TV-MA,TV Dramas,September
TV Show,blank country,TV-MA,TV Horror,September
TV Show,blank country,TV-MA,TV Mysteries,September
Movie,blank country,PG,Children & Family Movies,September
Movie,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",TV-MA,Dramas,September
Movie,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",TV-MA,Independent Movies,September
Movie,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",TV-MA,International Movies,September
TV Show,United Kingdom,TV-14,British TV Shows,September
TV Show,United Kingdom,TV-14,Reality TV,September
Movie,United States,PG-13,Comedies,September
Movie,United States,PG-13,Dramas,September
TV Show,blank country,TV-MA,Crime TV Shows,September
TV Show,blank country,TV-MA,Docuseries,September
TV Show,blank country,TV-MA,International TV Shows,September
TV Show,blank country,TV-MA,Crime TV Shows,September
TV Show,blank country,TV-MA,International TV Shows,September
TV Show,blank country,TV-MA,TV Action & Adventure,September
Movie,"Germany, Czech Republic",TV-MA,Dramas,September
Movie,"Germany, Czech Republic",TV-MA,International Movies,September
Movie,blank country,TV-PG,Children & Family Movies,September
Movie,blank country,TV-PG,Comedies,September
TV Show,blank country,TV-MA,British TV Shows,September
TV Show,blank country,TV-MA,Crime TV Shows,September
TV Show,blank country,TV-MA,Docuseries,September
TV Show,United States,TV-MA,TV Comedies,September
TV Show,United States,TV-MA,TV Dramas,September
Movie,blank country,TV-MA,Documentaries,September
Movie,blank country,TV-MA,International Movies,September
TV Show,Mexico,TV-MA,Crime TV Shows,September
